nweightnatyrs	qr1	qr2	qr4	gender	qs2	qs3a	qs3b	qs4	qs5a	qs5b	qa1	qa2	qa3	qa4	qa5	qa6	qa6a	qa7	qa8	qb1	qb2	qb2a	qb2aa	qb2ab	qb3	qb3a	qb4	qb4a	qb5	othb5	qb5aa	othb5aa	qb5bb	othb5bb	qb5a	qc1	qc1a	qc1b	qc2	qc3	qc3a	qc4	qc4a	qc4b	qc4c	qc4d	qc7	qc8	qc9	qc10	qc10a	qc11	qc12	qc13	qc14	qc15_1	qc15_2	qc15_3	qc15_4	qc15_5	qc15_6	qc15_7	qc16	qc17	qc18	qc19_1	qc19_2	qc19_3	qc20	qd2	qd2a	qg1	qg1a	qg1b	qg2	qg3_a	qg3_b	qg3_c	qg3_d	qg3_e	qg5_a	qg5_b	qg5_c	qg5_d	qg6	qd1	othd1	qd1a	qd1b	qd1c	qd3	qd3a	qg4	qg4a	qg4b	qg4c	qf101	qf102	qf103	qf104	qf105	qf2	qf2a	qf3	qf3a	qf4	qf5_a	qf5_b	qf5_c	qf5_d	qf5_e	qf5a_a	qf5a_b	qf5a_c	qf5a_d	qf5a_e	qf6	qf7_a	qf7_b	qf7_c	qf7_d	qf8_a	qf8_b	qf8_c	qf9	qf10	qh1	qh3	qh4	qh4a	qh2	qh2a	qh5	qh5b	qh5c	qj1	qj2	qj3	qj3a	qj3b1	qj3b2	qj3c1	qj3c2	qj4	qj5	qj6	qj7	qj8	qj9	qj10	qj10a	qj11	qj12	qj13	qj13a	qj14	qj14a	qj15	qj16	qj16a	qj17	qj17a	qj18	respunique	state	countyname	date	ethnicity	citizenrecode	newdest6	newdest2	newasiandest
3063.41330039282	2	2	1	2	2	6	97	97	97	97	6	1	1	2	2	1992	97	32	3	3	1	1	1	1	1	1	2	97	2	Skip / NA	1	Skip / NA	9	Skip / NA	2	3	97	3	97	97	97	98	97	97	97	99	3	97	97	97	97	97	97	99	1	2	2	2	2	2	2	2	2	2	2	1	2	1	2	98	98	2	97	2	4	3	5	4	5	4	4	2	5	5	97	3	Skip / NA	97	97	2	97	97	2	97	2	97	2	1	97	97	97	1	2	1	2	1	2	2	2	1	2	97	97	97	97	97	2	1	1	2	2	3	2	1	3	3	3	2	1	97	3	2	2	97	97	2	2	1	97	2	97	97	97	3	2	3	2	30	2	1952	97	6	1	2	97	9997	997	2	2	2	97	97	4	100010812	NY	Queens County, New York	0812	2	0	5	2	2
1533.79604787582	2	2	1	2	2	6	97	97	97	97	6	2	2	2	2	1990	97	36	3	2	1	1	1	1	1	1	2	97	2	Skip / NA	12	Skip / NA	11	Skip / NA	12	2	97	2	97	97	97	98	97	97	97	3	2	97	97	97	97	97	97	98	1	2	2	2	2	1	1	2	1	2	2	2	2	1	2	2	97	2	97	2	2	5	5	1	1	4	5	4	4	4	97	3	Skip / NA	97	97	98	97	97	4	97	97	1	2	4	97	97	97	1	1	1	1	1	2	2	1	2	1	97	97	97	97	97	1	2	1	2	98	4	2	4	3	98	4	97	97	97	3	1	2	97	97	3	2	1	97	6	97	97	97	3	0	1	2	6	2	1960	97	18	1	3	97	1998	997	97	3	3	97	1	4	100020812	NY	Kings County, New York	0812	2	1	5	2	2
803.066610699088	1	97	1	2	6	2	97	97	97	97	6	2	2	2	2	1995	97	36	3	2	1	3	2	97	2	97	1	3	2	Skip / NA	10	Skip / NA	1	Skip / NA	2	1	3	97	2	6	98	97	97	97	3	97	1	2	2	2	97	97	97	98	3	1	2	2	2	2	1	2	1	2	2	2	2	1	2	1	98	2	97	2	3	4	4	5	3	1	1	1	2	1	97	3	Skip / NA	97	97	2	97	97	3	97	97	98	2	97	97	97	97	1	2	1	3	2	2	2	2	2	2	97	97	97	97	97	2	1	2	1	2	2	2	2	97	97	2	97	97	97	97	97	2	97	97	5	2	5	2	97	97	97	97	1	97	99	4	997	2	1981	97	9	1	3	97	2003	997	97	97	97	1	97	4	100030812	NY	Queens County, New York	0812	2	1	5	2	2
3145.34072274823	2	2	1	2	6	0	97	97	97	97	6	2	2	2	2	2000	97	90	3	3	1	1	1	2	1	2	1	3	2	Skip / NA	5	Skip / NA	0	Skip / NA	2	3	97	3	97	97	97	1	97	97	1	97	3	97	97	97	97	97	97	97	1	1	2	2	2	2	1	2	2	2	2	2	2	1	2	2	97	1	1	97	4	3	3	4	3	4	2	3	4	3	97	5	Skip / NA	97	97	97	97	97	3	97	97	1	3	97	97	97	97	1	2	1	2	2	2	2	2	2	1	97	97	97	97	97	2	1	1	2	1	2	3	2	97	97	97	97	97	97	97	97	1	1	2	10	1	1	97	6	97	97	97	3	1	4	1	40	2	1970	97	2	2	1	1	9997	997	1	2	2	97	97	4	100040812	NC	Wake County, North Carolina	0812	2	0	3	1	3
2380.47204749144	2	3	1	1	6	1	2	97	97	97	6	2	2	2	2	1995	97	36	3	2	1	1	2	97	2	97	2	97	2	Skip / NA	6	Skip / NA	0	Skip / NA	2	2	97	2	97	97	97	98	97	97	3	97	2	97	97	97	97	97	97	1	3	2	2	2	2	2	2	2	2	2	2	2	2	2	2	98	98	2	97	2	2	3	5	3	3	3	3	4	4	2	97	3	Skip / NA	97	97	98	97	97	3	97	97	2	2	97	97	97	97	2	97	98	97	2	2	2	2	2	2	97	97	97	97	97	2	1	1	98	2	2	98	4	97	97	97	97	97	97	97	97	2	97	97	4	2	1	97	6	97	97	97	99	99	99	6	997	2	9999	3	99	99	99	97	9997	997	99	4	4	97	97	4	100050812	NY	Kings County, New York	0812	2	0	5	2	2
 	2	2	1	1	1	6	97	97	97	97	6	1	2	2	1	99	97	97	97	3	1	1	1	1	1	1	2	97	2	Skip / NA	1	Skip / NA	6	Skip / NA	1	1	1	97	2	2	97	97	97	97	2	97	3	97	97	3	97	97	97	97	1	1	2	2	2	1	2	2	2	2	2	1	2	1	97	1	2	3	97	97	5	5	5	4	4	5	4	1	4	3	97	3	Skip / NA	97	97	2	3	3	1	1	97	97	4	97	97	97	97	2	97	2	97	2	97	97	97	97	97	2	2	2	2	2	2	2	1	2	2	3	2	2	97	97	5	2	1	97	2	1	1	2	5	7	1	2	1	2	97	97	97	4	1	5	1	40	2	1978	97	15	1	97	97	9997	997	97	1	1	97	97	4	100060812	MN	PROTECTED	0812	2	1	2	1	3
355.496003239735	1	97	1	2	6	31	97	97	97	97	6	2	2	2	24	1995	97	36	2	1	1	1	2	97	2	97	2	97	2	Skip / NA	3	Skip / NA	0	Skip / NA	2	1	98	97	1	6	2	97	97	98	97	97	3	97	97	2	97	98	98	97	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	98	2	3	97	97	4	5	5	2	5	5	4	4	2	2	97	2	Skip / NA	97	2	97	97	97	3	97	97	1	3	1	2	4	97	1	2	1	2	1	2	2	1	2	2	97	97	97	97	97	2	1	1	2	98	98	98	4	97	97	6	1	2	2	1	1	2	97	97	5	2	1	97	6	97	97	97	3	2	5	2	20	1	1962	97	9	1	3	97	2007	997	97	97	97	1	97	4	100070812	NJ	Essex County, New Jersey	0812	2	1	5	2	1
3158.95603977311	2	2	1	1	6	2	97	97	97	97	6	2	2	2	2	1996	97	90	1	3	1	3	1	3	1	2	1	3	4	Skip / NA	2	Skip / NA	6	Skip / NA	2	2	97	2	97	97	97	1	97	3	97	97	2	97	97	97	97	97	97	97	1	1	2	2	2	1	2	1	2	1	2	2	2	1	2	2	97	2	97	2	4	5	5	4	1	4	5	2	3	1	97	3	Skip / NA	97	97	2	97	97	1	2	97	97	2	97	97	97	97	1	2	2	97	1	2	2	1	2	1	97	97	97	97	97	2	1	1	1	1	2	2	3	3	98	6	2	2	1	3	1	2	97	97	9	1	1	97	6	97	97	97	4	2	8	1	40	2	1930	97	8	1	2	97	9997	997	3	1	1	97	97	4	100080812	NC	Wake County, North Carolina	0812	2	0	3	1	3
1870.52571188562	2	2	1	1	6	2	97	97	97	97	6	2	2	2	2	1969	97	36	3	3	1	1	1	1	1	1	2	97	2	Skip / NA	7	Skip / NA	11	Skip / NA	2	2	97	2	97	97	97	98	97	3	97	97	2	97	97	97	97	97	97	98	1	2	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	1	2	97	4	99	5	98	5	98	5	4	4	4	97	5	Skip / NA	97	97	97	97	97	1	1	97	97	3	97	97	97	97	2	97	2	97	2	1	1	2	2	1	97	97	97	97	97	2	1	1	1	1	4	4	4	97	97	97	97	97	97	97	97	2	97	97	2	2	1	97	2	97	97	97	6	3	6	6	997	1	1944	97	30	2	3	97	1980	997	97	4	4	97	2	4	100090812	NY	Kings County, New York	0812	2	1	5	2	2
1533.79604787582	2	2	1	2	2	6	97	97	97	97	6	2	2	2	2	1986	97	36	3	1	1	1	2	97	2	97	2	97	10	Skip / NA	1	Skip / NA	2	Skip / NA	10	2	97	1	3	2	97	97	97	98	97	97	2	97	97	97	97	97	97	98	3	1	2	2	2	2	2	2	2	2	2	2	2	1	2	1	2	2	97	2	2	5	5	4	1	5	5	5	5	1	97	5	Skip / NA	97	97	97	97	97	4	97	97	98	1	4	97	97	97	2	97	2	97	1	2	2	2	2	2	97	97	97	97	97	2	1	2	98	98	4	4	4	97	97	4	97	97	97	3	1	2	97	97	3	2	1	97	6	97	97	97	3	0	2	1	50	1	1945	97	8	2	3	97	2003	997	97	4	4	97	1	4	100100812	NY	New York County, New York	0812	2	1	5	2	2
1862.46361787423	2	3	1	2	6	2	97	97	97	97	6	2	2	2	2	1985	97	36	3	2	2	97	1	1	2	97	2	97	1	Skip / NA	6	Skip / NA	3	Skip / NA	1	1	3	97	1	2	97	97	97	3	97	97	1	1	1	2	97	97	97	2	1	2	2	2	2	2	2	1	2	2	2	2	2	2	2	1	2	3	97	97	2	5	5	3	1	5	4	2	98	2	97	3	Skip / NA	97	97	2	97	97	3	97	97	1	4	2	97	97	97	2	97	2	97	2	2	2	2	2	2	97	97	97	97	97	2	2	2	2	2	3	4	4	97	97	6	2	1	97	1	1	2	97	97	1	2	1	97	6	97	97	97	2	0	99	7	997	2	1940	97	15	2	3	97	2001	997	97	4	4	97	1	4	100110812	NY	Kings County, New York	0812	2	1	5	2	2
1037.93453269224	2	2	1	2	6	0	97	97	97	97	6	2	2	2	2	1991	97	90	3	3	1	1	2	97	2	97	2	97	2	Skip / NA	6	Skip / NA	12	Skip / NA	2	2	97	2	97	97	97	99	3	97	97	97	1	2	2	97	97	97	97	98	1	1	2	1	2	2	2	2	1	1	2	2	2	1	2	1	2	2	97	1	2	5	4	4	3	4	2	4	3	2	97	5	Skip / NA	97	97	97	97	97	1	2	97	97	2	97	97	97	97	2	97	2	97	2	2	2	2	2	2	97	97	97	97	97	2	1	1	1	2	2	2	2	3	3	4	97	97	97	5	1	1	4	4	2	2	1	97	6	97	97	97	2	0	3	6	997	1	1936	97	5	2	3	97	2001	997	97	3	3	97	1	4	100130812	NY	New York County, New York	0812	2	1	5	2	2
