id,wgt,ethnicity,racegroup,state,gender,education,nativity1,nativity2,legality,income1,income2,age1,age2,reg,vote,voteres,party,partycloser1,partycloser2,favorbo,favordt,favorhc,contact1,contact2,e1,e2,e3,e4,e5,e6,i1,i2,i3,i4,mi1,mi2,mi3,mi4,mi5,mi6,mi7,mi8,mi9,ma1,ma2,ma3,ma4,ma5,ma6,ma7,identity
0800000443,205.4590354,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(2) Female,"(4) Some college, but no degree",NA,NA,NA,"(4) $75,000 to $100,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,NA,(1) Democrat,NA,(1) Closer to the Republican Party,(3) Somewhat favorable,(3) Somewhat favorable,(1) Very unfavorable,(2) No,(2) No,(5) Strongly disagree,(1) Strongly agree,(3) Neither,(1) Strongly agree,(4) Somewhat disagree,(2) Somewhat agree,NA,(5) Strongly disagree,(1) Strongly agree,(5) Strongly disagree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0650000095,1741.8536878,(03) Chinese,(2) Pacific Islander,CA               ,(2) Female,(3) High school degree/GED,NA,NA,NA,"(3) $50,000 to $75,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(1) Democrat,NA,NA,(4) Very favorable,(1) Very unfavorable,(4) Very favorable,(1) Yes,(2) No,NA,(1) Strongly agree,(2) Somewhat agree,(1) Strongly agree,(1) Strongly agree,(2) Somewhat agree,(2) Somewhat agree,(4) Somewhat disagree,(5) Strongly disagree,(4) Somewhat disagree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0600000519,568.8946623,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(1) Male,(3) High school degree/GED,NA,NA,NA,"(6) $125,000 to $250,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(2) Trump,(3) Independent,NA,(3) Closer to neither party,(2) Somewhat unfavorable,(3) Somewhat favorable,(2) Somewhat unfavorable,(2) No,(2) No,(5) Strongly disagree,(4) Somewhat disagree,(5) Strongly disagree,(3) Neither,(3) Neither,(5) Strongly disagree,(5) Strongly disagree,(5) Strongly disagree,(4) Somewhat disagree,(5) Strongly disagree,(1) Yes,(2) No,(1) Yes,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0850000172,183.5054734,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(1) Male,(6) Graduate or Professional degree,NA,NA,NA,NA,NA,(2) 35 or above,NA,(2) Not registered,(2) No,NA,(3) Independent,NA,NA,(5) No opinion,(5) No opinion,(5) No opinion,(2) No,(2) No,(3) Neither,(5) Strongly disagree,(1) Strongly agree,(1) Strongly agree,(5) Strongly disagree,(1) Strongly agree,(1) Strongly agree,(3) Neither,(3) Neither,(5) Strongly disagree,(2) No,(2) No,NA,(2) No,(2) No,(2) No,(1) Yes,(2) No,NA,(1) Yes,NA,NA,(1) Yes,(2) No,(2) No,NA,NA
0600000539,205.4590354,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(2) Female,(6) Graduate or Professional degree,NA,NA,NA,"(4) $75,000 to $100,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(1) Democrat,NA,NA,(4) Very favorable,(3) Somewhat favorable,(4) Very favorable,(1) Yes,(2) No,(2) Somewhat agree,(2) Somewhat agree,(1) Strongly agree,(1) Strongly agree,(2) Somewhat agree,(2) Somewhat agree,(1) Strongly agree,(2) Somewhat agree,(2) Somewhat agree,(2) Somewhat agree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0800000553,2324.2375611,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(1) Male,(1) No schooling completed,NA,NA,(1) U.S. Citizen,"(1) Up to $20,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(2) Trump,(2) Republican,NA,NA,(1) Very unfavorable,(4) Very favorable,(4) Very favorable,(2) No,(2) No,(5) Strongly disagree,(1) Strongly agree,(1) Strongly agree,(4) Somewhat disagree,(1) Strongly agree,(5) Strongly disagree,(5) Strongly disagree,(1) Strongly agree,(5) Strongly disagree,(5) Strongly disagree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0800000709,205.4590354,(03) Chinese,(2) Pacific Islander,HI               ,(2) Female,(5) College degree or Bachelor's degree,NA,NA,NA,"(4) $75,000 to $100,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(1) Democrat,NA,NA,(4) Very favorable,(1) Very unfavorable,(3) Somewhat favorable,(2) No,(2) No,(2) Somewhat agree,NA,(1) Strongly agree,(1) Strongly agree,(2) Somewhat agree,(2) Somewhat agree,(2) Somewhat agree,(3) Neither,(2) Somewhat agree,(5) Strongly disagree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,NA,NA
0800000362,205.4590354,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(2) Female,(5) College degree or Bachelor's degree,NA,NA,NA,"(4) $75,000 to $100,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(2) Trump,(3) Independent,NA,(3) Closer to neither party,(3) Somewhat favorable,(3) Somewhat favorable,(2) Somewhat unfavorable,(2) No,(2) No,(4) Somewhat disagree,(1) Strongly agree,(1) Strongly agree,(2) Somewhat agree,(1) Strongly agree,(2) Somewhat agree,(2) Somewhat agree,(2) Somewhat agree,(4) Somewhat disagree,(2) Somewhat agree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
0800000289,636.9540177,(12) Native Hawaiian,(2) Pacific Islander,HI               ,(2) Female,(3) High school degree/GED,NA,NA,NA,NA,NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(3) Independent,NA,NA,(3) Somewhat favorable,(3) Somewhat favorable,(3) Somewhat favorable,(2) No,(2) No,(2) Somewhat agree,(1) Strongly agree,(2) Somewhat agree,(1) Strongly agree,(1) Strongly agree,(2) Somewhat agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Strongly agree,(1) Yes,(1) Yes,(1) Yes,(1) Yes,(1) Yes,(2) No,(1) Yes,(1) Yes,(1) Yes,(2) No,(2) No,(1) Yes,(2) No,(2) No,(1) Yes,NA,NA
0600000427,568.8946623,(03) Chinese,(2) Pacific Islander,HI               ,(1) Male,(3) High school degree/GED,NA,NA,NA,"(3) $50,000 to $75,000",NA,(2) 35 or above,NA,"(1) Yes, registered",(1) Yes,(1) Clinton,(1) Democrat,NA,NA,(3) Somewhat favorable,(3) Somewhat favorable,(3) Somewhat favorable,(2) No,(2) No,(2) Somewhat agree,(1) Strongly agree,(2) Somewhat agree,(2) Somewhat agree,(1) Strongly agree,(3) Neither,(4) Somewhat disagree,(5) Strongly disagree,(5) Strongly disagree,(5) Strongly disagree,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(1) Yes,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,(2) No,NA,NA
