id,wgt,ethnicity,racegroup,state,gender,education,nativity1,nativity2,legality,income1,income2,age1,age2,reg,votepred,votelean,party,partycloser1,partycloser2,favorbo,favordt,favorhc,p1,p2,p3,p4,p5,p6,p7,media1,media2,soc1,soc2
10000600000283,68.5488746,(02) Cambodian,(1) ASIAN AMERICAN,CA,(2) Female,(1) No schooling completed,(06) Cambodia / Kampuchea,NA,(1) US Citizen,"(1) Up to $20,000",NA,(2) 35 or above,NA,(2) Not Registered,NA,NA,NA,NA,NA,(5) No opinion,(5) No opinion,(5) No opinion,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1000200000134 ,107783.9151367,NA,(5) AFRICAN AMERICAN,GA,(1) Male,(6) Graduate or Professional degree,NA,NA,NA,"(4) $75,000 to $100,000",NA,(2) 35 or above,NA,"(1) Yes, Registered",(1) Clinton,NA,(01) Democrat,NA,NA,(4) Very favorable,(1) Very unfavorable,(4) Very favorable,(1) Support,(1) Support,(1) Support,(1) Support,(2) Oppose,NA,(1) Support,NA,NA,(09) Racism or Racial discrimination,(09) Racism or Racial discrimination
10010600000285,56.1109337,(02) Cambodian,(1) ASIAN AMERICAN,WA,(2) Female,(1) No schooling completed,(06) Cambodia / Kampuchea,NA,(1) US Citizen,"(6) $125,000 to $250,000",NA,(2) 35 or above,NA,"(1) Yes, Registered",NA,NA,(02) Republican,NA,NA,(5) No opinion,(5) No opinion,(5) No opinion,(1) Support,(2) Oppose,(2) Oppose,(1) Support,(1) Support,(1) Support,(1) Support,(2) Mainstream American more,NA,NA,NA
10020600000286,213.324395,(02) Cambodian,(1) ASIAN AMERICAN,WA,(2) Female,(6) Graduate or Professional degree,(06) Cambodia / Kampuchea,NA,(1) US Citizen,"(4) $75,000 to $100,000",NA,(2) 35 or above,NA,(2) Not Registered,NA,NA,NA,NA,NA,(5) No opinion,(5) No opinion,(5) No opinion,(1) Support,(2) Oppose,NA,(1) Support,(2) Oppose,(2) Oppose,(2) Oppose,(3) DO NOT READ  Both equally,NA,(02) Education,(02) Education
10030600000287,56.1109337,(02) Cambodian,(1) ASIAN AMERICAN,WA,(2) Female,(1) No schooling completed,(06) Cambodia / Kampuchea,NA,(1) US Citizen,"(1) Up to $20,000",NA,(2) 35 or above,NA,"(1) Yes, Registered",NA,NA,NA,NA,NA,(5) No opinion,(5) No opinion,(5) No opinion,(1) Support,(1) Support,(2) Oppose,(2) Oppose,(2) Oppose,(1) Support,(2) Oppose,(2) Mainstream American more,NA,NA,NA
10040600000288,33.6686088,(02) Cambodian,(1) ASIAN AMERICAN,WA,(1) Male,(1) No schooling completed,(05) Burma / Myanmar,NA,(1) US Citizen,"(1) Up to $20,000",NA,(2) 35 or above,NA,"(1) Yes, Registered",NA,NA,(05) DO NOT READ  Do not think in terms of political parties,(3) Closer to neither party,NA,(3) Somewhat favorable,(5) No opinion,(5) No opinion,(2) Oppose,(1) Support,(1) Support,(2) Oppose,(1) Support,(1) Support,(1) Support,(2) Mainstream American more,NA,(01) Economy/Jobs,(01) Economy/Jobs
10050600000289,56.1109337,(02) Cambodian,(1) ASIAN AMERICAN,WA,(2) Female,"(2) Some schooling, no high school degree / GED",(05) Burma / Myanmar,NA,(1) US Citizen,"(1) Up to $20,000",NA,(2) 35 or above,NA,"(1) Yes, Registered",(1) Clinton,NA,(02) Republican,NA,NA,(4) Very favorable,(1) Very unfavorable,(4) Very favorable,(1) Support,(1) Support,(2) Oppose,(2) Oppose,(1) Support,(1) Support,(1) Support,(2) Mainstream American more,NA,(01) Economy/Jobs,(01) Economy/Jobs
10060600000290,56.1109337,(02) Cambodian,(1) ASIAN AMERICAN,WA,(2) Female,(1) No schooling completed,(28) Other  SPECIFY,NA,(3) Green card,"(3) $50,000 to $75,000",NA,(2) 35 or above,NA,NA,NA,NA,(02) Republican,NA,NA,(4) Very favorable,(5) No opinion,(4) Very favorable,(1) Support,(1) Support,(1) Support,(2) Oppose,(2) Oppose,(2) Oppose,(1) Support,(2) Mainstream American more,NA,NA,NA
10070600000291,68.5488746,(02) Cambodian,(1) ASIAN AMERICAN,CA,(2) Female,(1) No schooling completed,(05) Burma / Myanmar,NA,(1) US Citizen,"(1) Up to $20,000",NA,(2) 35 or above,NA,(2) Not Registered,NA,NA,(05) DO NOT READ  Do not think in terms of political parties,NA,(3) Closer to neither party,(5) No opinion,(5) No opinion,(5) No opinion,NA,(1) Support,(1) Support,(1) Support,(1) Support,(1) Support,(1) Support,NA,NA,(03) Environment/Climate change,(07) Incomes/Gap between rich and poor
10080600000292,33.6686088,(02) Cambodian,(1) ASIAN AMERICAN,WA,(1) Male,(1) No schooling completed,(05) Burma / Myanmar,NA,(1) US Citizen,"(1) Up to $20,000",NA,(2) 35 or above,NA,(2) Not Registered,(3) SOME OTHER CANDIDATE,NA,(05) DO NOT READ  Do not think in terms of political parties,(3) Closer to neither party,NA,(3) Somewhat favorable,(1) Very unfavorable,(3) Somewhat favorable,(1) Support,(1) Support,(1) Support,(2) Oppose,(1) Support,(1) Support,(1) Support,NA,NA,(01) Economy/Jobs,(07) Incomes/Gap between rich and poor
