Default Report
Last Modified: 2021-04-06 15:48:09 MDT


Q1 - I approve of how Joe Biden has handled his job as President.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,I approve of how Joe Biden has handled his job as President.,1.00,5.00,3.50,1.15,1.33,240

#,Answer,%,Count
1,Strongly Disagree,7.08%,17
2,Disagree,15.83%,38
3,Neutral,13.75%,33
4,Agree,46.25%,111
5,Strongly Agree,17.08%,41
,Total,100%,240

Q2 - I have concerns regarding the democratic integrity of the 2020 Election.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,I have concerns regarding the democratic integrity of the 2020 Election.,1.00,5.00,1.97,1.24,1.54,240

#,Answer,%,Count
1,Strongly Disagree,51.25%,123
2,Disagree,22.50%,54
3,Neutral,9.17%,22
4,Agree,12.08%,29
5,Strongly Agree,5.00%,12
,Total,100%,240

Q3 - Democrats were right in launching a second impeachment investigation against former President Donald Trump.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Democrats were right in launching a second impeachment investigation against former President Donald Trump.,1.00,5.00,3.90,1.31,1.73,240

#,Answer,%,Count
1,Strongly Disagree,10.00%,24
2,Disagree,7.92%,19
3,Neutral,7.92%,19
4,Agree,30.00%,72
5,Strongly Agree,44.17%,106
,Total,100%,240

Q4 - Big Tech companies should remove figures who spread misinformation on their platforms.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Big Tech companies should remove figures who spread misinformation on their platforms.,1.00,5.00,3.48,1.23,1.51,240

#,Answer,%,Count
1,Strongly Disagree,8.75%,21
2,Disagree,14.58%,35
3,Neutral,19.17%,46
4,Agree,35.42%,85
5,Strongly Agree,22.08%,53
,Total,100%,240

Q5 - Congress was right to remove Representative Marjorie Taylor Greene from her committee seats.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Congress was right to remove Representative Marjorie Taylor Greene from her committee seats.,1.00,5.00,4.01,1.11,1.23,240

#,Answer,%,Count
1,Strongly Disagree,4.58%,11
2,Disagree,5.00%,12
3,Neutral,18.75%,45
4,Agree,28.33%,68
5,Strongly Agree,43.33%,104
,Total,100%,240

"Q6 - Figures who supported, defended, or participated in claims of election fraud or the Jan. 6 Capitol Riots should not have a platform at Harvard."
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,"Figures who supported, defended, or participated in claims of election fraud or the Jan. 6 Capitol Riots should not have a platform at Harvard.",1.00,5.00,3.52,1.43,2.06,240

#,Answer,%,Count
1,Strongly Disagree,12.92%,31
2,Disagree,16.25%,39
3,Neutral,12.50%,30
4,Agree,22.92%,55
5,Strongly Agree,35.42%,85
,Total,100%,240

Q7 - The Republican Party is synonymous with the “Party of Trump.”
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,The Republican Party is synonymous with the “Party of Trump.”,1.00,5.00,2.98,1.31,1.71,240

#,Answer,%,Count
1,Strongly Disagree,15.00%,36
2,Disagree,28.75%,69
3,Neutral,11.67%,28
4,Agree,32.08%,77
5,Strongly Agree,12.50%,30
,Total,100%,240

Q8 - Figures who support former President Trump should not be given a platform at Harvard.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Figures who support former President Trump should not be given a platform at Harvard.,1.00,5.00,2.33,1.27,1.61,240

#,Answer,%,Count
1,Strongly Disagree,32.08%,77
2,Disagree,32.92%,79
3,Neutral,12.50%,30
4,Agree,15.00%,36
5,Strongly Agree,7.50%,18
,Total,100%,240

Q9 - Figures who support the Republican Party should not be given a platform at Harvard.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Figures who support the Republican Party should not be given a platform at Harvard.,1.00,5.00,1.55,0.98,0.96,240

#,Answer,%,Count
1,Strongly Disagree,67.92%,163
2,Disagree,19.17%,46
3,Neutral,5.42%,13
4,Agree,5.00%,12
5,Strongly Agree,2.50%,6
,Total,100%,240

Q10 - Harvard was wrong not to consider Professor Cornel West for tenure.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Harvard was wrong not to consider Professor Cornel West for tenure.,1.00,5.00,3.63,1.21,1.47,240

#,Answer,%,Count
1,Strongly Disagree,6.25%,15
2,Disagree,11.25%,27
3,Neutral,27.92%,67
4,Agree,22.50%,54
5,Strongly Agree,32.08%,77
,Total,100%,240

Q11 - I feel safe to express my political opinions in social and extracurricular contexts on campus.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,I feel safe to express my political opinions in social and extracurricular contexts on campus.,1.00,5.00,3.37,1.34,1.81,240

#,Answer,%,Count
1,Strongly Disagree,12.92%,31
2,Disagree,17.92%,43
3,Neutral,10.42%,25
4,Agree,36.67%,88
5,Strongly Agree,22.08%,53
,Total,100%,240

Q12 - I feel safe to express my political opinions in academic contexts on campus.
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,I feel safe to express my political opinions in academic contexts on campus.,1.00,5.00,3.31,1.34,1.80,240

#,Answer,%,Count
1,Strongly Disagree,15.42%,37
2,Disagree,13.33%,32
3,Neutral,15.83%,38
4,Agree,35.83%,86
5,Strongly Agree,19.58%,47
,Total,100%,240

Q22 - Social Class Year:
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Social Class Year:,1.00,4.00,2.27,1.11,1.23,236

#,Answer,%,Count
1,2024,34.75%,82
2,2023,20.76%,49
3,2022,27.54%,65
4,2021,16.95%,40
,Total,100%,236

Q20 - Gender:
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Gender:,1.00,4.00,1.49,0.61,0.38,236

#,Answer,%,Count
1,Male,55.93%,132
2,Female,40.25%,95
3,Non-Binary,2.54%,6
4,Prefer not to say,1.27%,3
,Total,100%,236

Q21 - Race/Ethnicity (Select all that apply):
#,Answer,%,Count
1,White,51.44%,143
2,Latinx,8.99%,25
3,African or African American,8.99%,25
4,Asian or Asian American,19.78%,55
5,Native American,1.80%,5
6,Middle Eastern or North African,2.88%,8
7,Other,1.80%,5
8,Prefer not to say,4.32%,12
,Total,100%,278

Q16 - Would you like to join the Harvard Political Review's survey group?
#,Field,Minimum,Maximum,Mean,Std Deviation,Variance,Count
1,Would you like to join the Harvard Political Review's survey group?,1.00,2.00,1.73,0.44,0.20,236

#,Answer,%,Count
1,Yes,27.12%,64
2,No,72.88%,172
,Total,100%,236
