"id","state","age","gender","party","race","socioecon_bg","familyincome","density","ever_donor","voted2008","voted2010","voted2012","voted2014","vote2012_prob","vote2014_prob","ideology_score","dem_score","dem2012_score","homeowner_score","college_grad_prob","gun_owner_prob","hunter_prob","married_prob","religion"
36974,"NC",30,"F","DEM","C","VERY WEALTHY",135000,"URBAN",0,1,0,0,0,49.5,16.629999,80.099998,70.650002,92.669998,9,0.85699999,0.14,NA,0.59600002,"UNCODED CHRISTIAN"
37362,"NC",58,"F","DEM","C","VERY WEALTHY",83000,"URBAN",0,1,1,1,1,98.800003,84.800003,31.1,75.18,70.160004,9,0.69700003,0.168,0.046,0.17299999,"CATHOLIC"
36635,"NC",65,"F","DEM","C","VERY WEALTHY",73000,"URBAN",0,1,1,1,1,93.699997,87.730003,38.799999,69.739998,85.889999,7,0.45100001,0.206,0.046,0.75999999,"UNCODED"
38352,"NC",65,"F","DEM","C","VERY WEALTHY",176000,"URBAN",0,1,1,0,1,97.300003,34.639999,63.5,73.75,97.599998,9,0.64999998,0.26699999,0.23100001,0.72600001,"PROTESTANT"
36619,"NC",52,"F","DEM","C","MODERATELY WEALTHY",138000,"RURAL",0,1,1,1,1,91,78.029999,72.5,94.150002,96.620003,9,0.83999997,0.176,0.046,0.27200001,"PROTESTANT"
37731,"NC",40,"F","DEM","C","VERY WEALTHY",137000,"URBAN",0,1,1,1,1,98.099998,84.389999,69.199997,69.739998,88.550003,9,0.73000002,0.249,0.046,0.95700002,"UNCODED"
38205,"NC",55,"F","DEM","C","MODERATELY WEALTHY",1e+05,"URBAN",1,1,0,1,0,80.5,57.599998,67.099998,83.760002,92.800003,9,0.49599999,0.16,0.205,0.37599999,"PROTESTANT"
38014,"NC",64,"F","DEM","C","VERY WEALTHY",125000,"URBAN",0,1,0,1,1,64.800003,64.669998,56.5,44.419998,88.790001,9,0.61000001,0.24600001,0.046,0.67400002,"CATHOLIC"
36852,"NC",72,"F","DEM","C","MODERATELY WEALTHY",56000,"URBAN",0,0,0,1,0,46.200001,30.709999,62.200001,10.92,91.760002,9,0.47400001,0.14300001,0.046,0.11,"UNCODED CHRISTIAN"
38221,"NC",65,"F","DEM","C","NON-FAMILY, WORKING",40000,"URBAN",0,1,1,1,1,98.199997,87.230003,72.5,41.450001,82.93,5,0.40200001,0.178,0.046,0.097999997,"UNCODED"
38313,"NC",47,"F","DEM","C","MODERATELY WEALTHY",158000,"URBAN",0,1,0,1,0,85.599998,57.509998,68.900002,77.169998,93.120003,9,0.57599998,0.16599999,0.046,0.32600001,"UNCODED"
36620,"NC",87,"F","DEM","C","FACTORY/SERVICE",2e+05,"RURAL",1,1,1,1,1,96.199997,90.639999,71.300003,83.269997,98.309998,9,0.24699999,0.37099999,0.39399999,0.94599998,"JEWISH"
37787,"NC",74,"F","DEM","C","VERY WEALTHY",193000,"URBAN",1,1,1,1,1,98,87.230003,73,70.639999,98.43,9,0.57300001,0.29899999,0.046,0.75300002,"UNCODED"
37943,"NC",30,"F","DEM","C","NON-FAMILY, NOT WEALTHY",45000,"URBAN",0,1,0,1,0,71,57.380001,69.300003,83.18,95.830002,9,0.347,0.18099999,NA,0.134,"UNCODED"
37070,"NC",51,"F","DEM","C","MODERATELY WEALTHY",111000,"URBAN",0,1,1,1,1,99,82.720001,31.1,70.639999,49.310001,9,0.59899998,0.244,0.18000001,0.866,"PROTESTANT"
38072,"NC",54,"F","DEM","C","BLUE COLLAR, UNIONS",110000,"RURAL",0,0,0,1,0,24.6,46.029999,64.599998,82.019997,87.169998,8,0.54500002,0.37200001,0.391,0.90499997,"PROTESTANT"
36531,"NC",30,"F","DEM","C","MODERATELY WEALTHY",128000,"URBAN",0,1,0,1,0,97,72.739998,86,81.07,98.269997,9,0.81199998,0.138,0.046,0.39300001,"UNCODED CHRISTIAN"
38178,"NC",67,"F","DEM","C","MODERATELY WEALTHY",235000,"URBAN",1,1,1,1,1,99,91.809998,71.099998,73.529999,98.93,9,0.73699999,0.278,0.17299999,0.81,"UNCODED"
36927,"NC",63,"F","DEM","C","MODERATELY WEALTHY",50000,"RURAL",0,0,0,0,0,NA,25.200001,58.299999,NA,82,9,0.50800002,0.38100001,NA,0.87900001,"UNCODED"
38279,"NC",45,"F","DEM","C","BLUE COLLAR, UNIONS",89000,"RURAL",0,1,1,1,1,88.699997,71.709999,49.400002,70.639999,88.080002,9,0.398,0.49000001,0.204,0.78399998,"UNCODED CHRISTIAN"
37802,"NC",44,"F","DEM","C","VERY WEALTHY",189000,"URBAN",1,1,1,1,0,97.800003,89.040001,63.599998,80.25,86.010002,9,0.625,0.223,0.22499999,0.89099997,"JEWISH"
38093,"NC",62,"F","DEM","C","MODERATELY WEALTHY",43000,"RURAL",0,0,0,1,1,93.900002,59.560001,59.5,68.540001,89.379997,9,0.25999999,0.40400001,0.39399999,0.505,"PROTESTANT"
36737,"NC",44,"F","DEM","C","MODERATELY WEALTHY",252000,"RURAL",0,1,0,1,0,84.400002,57.509998,82.900002,85.660004,96.730003,9,0.96700001,0.199,0.219,0.94499999,"PROTESTANT"
37216,"NC",65,"F","DEM","C","VERY WEALTHY",96000,"URBAN",0,1,0,1,0,94.099998,69.050003,52.599998,70.639999,82.099998,9,0.597,0.285,0.18099999,0.773,"PROTESTANT"
37941,"NC",44,"F","DEM","C","NON-FAMILY, NOT WEALTHY",55000,"CLUSTER",0,0,0,1,0,35.5,36.720001,67,68.730003,93.019997,9,0.347,0.20999999,0.046,0.189,"PROTESTANT"
37463,"NC",50,"F","DEM","C","MODERATELY WEALTHY",240000,"CLUSTER",0,1,1,1,1,98.900002,84.790001,38.900002,79.580002,60.939999,9,0.58200002,0.207,0.046,0.81800002,"CATHOLIC"
37471,"NC",67,"F","DEM","C","MODERATELY WEALTHY",99000,"URBAN",1,1,1,1,1,97.900002,87.669998,68,35.27,93.169998,9,0.648,0.30700001,0.046999998,0.88099998,"UNCODED CHRISTIAN"
37349,"NC",62,"F","DEM","C","VERY WEALTHY",154000,"URBAN",0,1,1,1,1,95.699997,79.32,29.200001,70.639999,48.470001,9,0.66000003,0.338,0.207,0.95300001,"PROTESTANT"
36953,"NC",77,"F","DEM","C","NON-FAMILY, NOT WEALTHY",52000,"URBAN",0,0,0,0,0,NA,19.6,37.299999,NA,69.349998,5,0.24600001,0.132,NA,0.057,"CATHOLIC"
37142,"NC",70,"F","DEM","C","VERY WEALTHY",435000,"URBAN",0,1,1,1,1,95.400002,73.510002,20.6,83.269997,62.84,9,0.69099998,0.20999999,0.046,0.85399997,"PROTESTANT"
37315,"NC",40,"F","DEM","C","MODERATELY WEALTHY",2e+05,"RURAL",0,0,0,1,0,52.700001,46.490002,56.5,72.830002,81.629997,9,0.62599999,0.303,NA,0.463,"UNCODED"
36636,"NC",72,"F","DEM","C","MODERATELY WEALTHY",76000,"URBAN",0,1,0,1,1,72.5,52.459999,54.200001,80.32,90.800003,9,0.40099999,0.28299999,0.046,0.059999999,"PROTESTANT"
36602,"NC",62,"F","DEM","C","BLUE COLLAR, UNIONS",59000,"RURAL",0,0,0,1,1,91.800003,57.189999,52.799999,NA,80.730003,9,0.442,0.32600001,NA,0.676,"PROTESTANT"
36905,"NC",53,"F","DEM","C","MODERATELY WEALTHY",75000,"URBAN",0,1,1,1,1,98.400002,90.779999,77.599998,83.760002,96.07,9,0.62300003,0.237,0.23199999,0.55400002,"UNCODED"
37364,"NC",48,"F","DEM","C","MODERATELY WEALTHY",205000,"URBAN",0,0,0,1,0,3.8,48.849998,71,69.739998,91.410004,9,0.773,0.15899999,NA,0.18700001,"CATHOLIC"
37220,"NC",78,"F","DEM","C","TRADITIONAL FAMILY, RURAL ECONOMY",60000,"RURAL",0,1,1,1,1,67.300003,90.370003,49.799999,74.110001,87.169998,9,0.29300001,0.23199999,0.046,0.093999997,"PROTESTANT"
37573,"NC",38,"F","DEM","C","MODERATELY WEALTHY",92000,"URBAN",0,1,0,1,0,85.599998,56.369999,38.599998,77.169998,75.379997,9,0.47,0.31299999,0.046,0.85299999,"CATHOLIC"
38183,"NC",53,"F","DEM","C","VERY WEALTHY",222000,"URBAN",0,1,1,1,1,91,92.370003,38.799999,69.739998,52.419998,9,0.70999998,0.26199999,0.046,0.83999997,"UNCODED"
37705,"NC",66,"F","DEM","C","BLUE COLLAR, UNIONS",45000,"RURAL",1,0,0,0,0,29.5,35.939999,62.400002,74,83.379997,9,0.28200001,0.30599999,0.21799999,0.34,"CATHOLIC"
37679,"NC",60,"F","DEM","C","MODERATELY WEALTHY",134000,"RURAL",0,1,1,1,1,98.800003,88.940002,60.099998,68.540001,95.160004,9,0.59899998,0.26800001,0.046,0.64499998,"PROTESTANT"
37972,"NC",57,"F","DEM","C","NON-FAMILY, NOT WEALTHY",135000,"URBAN",0,1,1,1,1,95.599998,82.349998,38,68.540001,67.769997,9,0.67000002,0.244,0.046,0.884,"PROTESTANT"
36560,"NC",68,"F","DEM","C","VERY WEALTHY",99000,"URBAN",1,1,1,1,1,99.099998,93,63.700001,74.629997,97.110001,9,0.55199999,0.278,0.18099999,0.54500002,"UNCODED CHRISTIAN"
37278,"NC",51,"F","DEM","C","FACTORY/SERVICE",66000,"RURAL",0,1,1,1,1,94.199997,76.760002,53.900002,74.629997,89.540001,9,0.27000001,0.248,0.046999998,0.28400001,"PROTESTANT"
37307,"NC",68,"F","DEM","C","VERY WEALTHY",82000,"URBAN",0,1,1,1,1,98.400002,87.260002,65.900002,70.639999,90.029999,9,0.61500001,0.25400001,0.046,0.61900002,"CATHOLIC"
36691,"NC",26,"F","DEM","C","MODERATELY WEALTHY",17000,"URBAN",0,0,0,1,0,60.200001,30.01,69.400002,71.660004,89.110001,1,0.42199999,0.14399999,NA,0.145,"JEWISH"
36666,"NC",43,"F","DEM","C","MODERATELY WEALTHY",142000,"URBAN",0,1,0,1,1,97.300003,74.290001,68,74.629997,93.199997,9,0.65499997,0.18000001,0.046,0.37599999,"UNCODED"
36595,"NC",64,"F","DEM","C","VERY WEALTHY",99000,"URBAN",1,1,0,1,0,97.599998,74.800003,70.199997,70.639999,97.790001,9,0.583,0.30700001,0.198,0.95300001,"PROTESTANT"
36638,"NC",42,"F","DEM","C","MODERATELY WEALTHY",213000,"URBAN",0,0,0,1,1,54.900002,56.080002,62.099998,NA,83.559998,9,0.74199998,0.22499999,NA,0.89499998,"CATHOLIC"
36945,"NC",64,"F","DEM","C","VERY WEALTHY",109000,"URBAN",0,1,0,1,0,80.5,52.68,69.900002,70.639999,89.279999,5,0.50999999,0.28799999,0.046,0.77200001,"CATHOLIC"
38037,"NC",69,"F","DEM","C","VERY WEALTHY",25000,"URBAN",0,1,1,1,0,95.5,NA,59.5,70.639999,84.889999,7,0.34599999,0.273,0.046,0.86299998,"PROTESTANT"
37171,"NC",55,"F","DEM","C","MODERATELY WEALTHY",173000,"URBAN",1,1,1,1,1,99.300003,87.099998,58.5,68.540001,95.160004,9,0.73000002,0.242,0.20999999,0.72600001,"UNCODED"
37223,"NC",62,"F","DEM","C","TRADITIONAL FAMILY, RURAL ECONOMY",29000,"RURAL",0,0,0,0,0,NA,15.87,37.299999,NA,68.43,6,0.244,0.32699999,NA,0.43000001,"CATHOLIC"
37219,"NC",66,"F","DEM","C","MODERATELY WEALTHY",43000,"URBAN",1,1,1,1,1,96.5,88.410004,64.599998,68.540001,95.980003,9,0.442,0.18099999,0.046,0.192,"PROTESTANT"
37430,"NC",73,"F","DEM","C","MODERATELY WEALTHY",62000,"URBAN",0,0,0,1,0,53.799999,51.970001,57.099998,79.580002,81.550003,9,0.296,0.23999999,NA,0.852,"PROTESTANT"
37750,"NC",70,"F","DEM","C","NON-FAMILY, NOT WEALTHY",29000,"URBAN",0,0,0,0,1,NA,31.049999,73.199997,NA,88.160004,7,0.26899999,0.36199999,NA,0.48899999,"UNCODED"
37050,"NC",25,"F","DEM","C","BLUE COLLAR, UNIONS",14000,"RURAL",0,0,0,1,0,16.799999,8.4200001,61.599998,45.48,78.580002,8,0.354,0.234,NA,0.21799999,"UNCODED"
37123,"NC",34,"F","DEM","C","MODERATELY WEALTHY",169000,"URBAN",0,1,1,1,1,98.699997,86.839996,75.099998,70.639999,97.769997,9,0.96700001,0.138,0.046,0.74199998,"CATHOLIC"
38299,"NC",44,"F","DEM","C","MODERATELY WEALTHY",172000,"URBAN",0,1,0,1,0,86,65.050003,55.299999,70.639999,75.32,9,0.80900002,0.17399999,0.046,0.39300001,"UNCODED CHRISTIAN"
36567,"NC",48,"F","DEM","C","MODERATELY WEALTHY",146000,"URBAN",0,0,0,0,0,NA,23.879999,62.799999,NA,86.760002,9,0.72600001,0.17,NA,0.18799999,"PROTESTANT"
38148,"NC",65,"F","DEM","C","FACTORY/SERVICE",28000,"RURAL",0,1,0,1,0,79.5,47.200001,54.599998,32.259998,85.400002,8,0.163,0.31799999,0.368,0.294,"UNCODED CHRISTIAN"
37397,"NC",40,"F","DEM","C","VERY WEALTHY",186000,"URBAN",0,1,1,1,1,98.800003,89.510002,64.300003,80.989998,91.919998,9,0.76099998,0.197,0.249,0.71799999,"PROTESTANT"
36736,"NC",32,"F","DEM","C","MODERATELY WEALTHY",48000,"URBAN",0,0,0,1,0,89.900002,45.860001,68.099998,69.739998,94.349998,9,0.69099998,0.145,0.046,0.16,"UNCODED"
37346,"NC",65,"F","DEM","C","MODERATELY WEALTHY",336000,"URBAN",1,1,1,1,1,96.599998,90.639999,64.900002,76.410004,91.089996,9,0.597,0.211,0.22400001,0.40400001,"CATHOLIC"
36871,"NC",28,"F","DEM","C","MODERATELY WEALTHY",124000,"RURAL",0,1,0,1,0,87.099998,52.09,80.099998,77.169998,90.139999,9,0.736,0.097999997,0.301,0.161,"PROTESTANT"
36656,"NC",42,"F","DEM","C","BLUE COLLAR, UNIONS",89000,"CLUSTER",0,0,0,1,1,79.699997,56.09,57.900002,NA,67.730003,7,0.33700001,0.31099999,NA,0.44600001,"PROTESTANT"
38179,"NC",60,"F","DEM","C","VERY WEALTHY",157000,"URBAN",0,1,0,1,0,88.400002,50.119999,31.6,76.129997,52.419998,8,0.76800001,0.338,0.213,0.91600001,"JEWISH"
37559,"NC",27,"F","DEM","C","BLUE COLLAR, UNIONS",15000,"CLUSTER",0,0,1,1,1,1.8,24.91,60,NA,78.360001,7,0.34299999,0.28200001,NA,0.40700001,"UNCODED"
37233,"NC",32,"F","DEM","C","VERY WEALTHY",29000,"URBAN",0,1,1,1,1,94.900002,18.75,81.199997,85.660004,98.269997,9,0.79100001,0.113,0.046,0.80500001,"CATHOLIC"
37327,"NC",34,"F","DEM","C","MODERATELY WEALTHY",28000,"URBAN",0,1,0,1,0,79.800003,39.799999,70.599998,74.629997,84.279999,7,0.662,0.131,NA,0.083999999,"PROTESTANT"
37911,"NC",34,"F","DEM","C","NON-FAMILY, NOT WEALTHY",49000,"URBAN",0,0,0,1,0,18.5,35.540001,61.200001,82.970001,87.93,7,0.41299999,0.28400001,0.167,0.19400001,"UNCODED"
37923,"NC",49,"F","DEM","C","NON-FAMILY, NOT WEALTHY",93000,"URBAN",0,1,1,1,1,97.900002,91.580002,66.699997,72.169998,94.989998,7,0.47299999,0.47999999,0.27900001,0.90499997,"UNCODED"
37851,"NC",46,"F","DEM","C","VERY WEALTHY",46000,"URBAN",0,0,0,0,0,NA,36.779999,60.099998,NA,74.470001,7,0.53200001,0.38100001,NA,0.92900002,"JEWISH"
