"year","case_id","weight","weight_cumulative","state","st","cd","dist","dist_up","cong","cong_up","zipcode","county_fips","tookpost","weight_post","rvweight","rvweight_post","starttime","age","gender","party","race","familyincome","college_grad_prob","married_prob","pid3","pid3_leaner","pid7","ideo5","birthyr","race0","hispanic","educ","faminc","marstat","economy_retro","newsint","approval_pres","approval_rep","approval_sen1","approval_sen2","approval_gov","intent_pres_08","intent_pres_12","intent_pres_16","voted_pres_08","voted_pres_12","voted_pres_16","vv_regstatus","vv_party_gen","vv_party_prm","vv_turnout_gvm","vv_turnout_pvm","intent_rep","intent_rep_party","voted_rep","voted_rep_party","intent_gov","intent_gov_party","voted_gov","voted_gov_party","intent_sen","intent_sen_party","voted_sen","voted_sen_party","intent_rep_chosen","intent_sen_chosen","intent_gov_chosen","voted_rep_chosen","voted_sen_chosen","voted_gov_chosen","rep_current","rep_icpsr","sen1_current","sen1_icpsr","sen2_current","sen2_icpsr","gov_current"
2016,300268069,1.73374232909581,0.88029022282264,"North Carolina","NC","NC-8",8,13,114,115,27292,37057,"Took Post-Election Survey",2.33848312112258,NA,NA,"09oct2016 06:35:57",53,"M","NPA","C",15000,0,0,"Independent","Independent (Excluding Leaners)","Independent","Not Sure",1963,"White","No","No HS","10k - 20k","Separated","Gotten Worse / Somewhat Worse","Hardly At All","Strongly Disapprove","Disapprove / Somewhat Disapprove","Strongly Disapprove","Disapprove / Somewhat Disapprove","Strongly Disapprove",NA,NA,"Donald Trump (Republican)",NA,"","","Unregistered","No Record Of Party Registration","No Record Of Party Registration","No Record Of Voting","No Record Of Voting","No One","","","","No One","","I Did Not Vote In This Race","","I'm Not Sure","","","","","","","","","","Richard Hudson (R)",21346,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301061580,1.31048556015199,0.665385857166955,"North Carolina","NC","NC-11",11,11,114,115,28630,37027,"Took Post-Election Survey",0.960406328365158,NA,NA,"28sep2016 17:44:22",74,"F","DEM","C",NA,1,1,"Democrat","Democrat (Including Leaners)","Not Very Strong Democrat","Conservative",1942,"White","No","4-Year","Prefer not to say","Married","Gotten Better / Somewhat Better","Most Of The Time","Approve / Somewhat Approve","Disapprove / Somewhat Disapprove","Strongly Disapprove","Disapprove / Somewhat Disapprove","Strongly Disapprove",NA,NA,"Hillary Clinton (Democrat)",NA,"Mitt Romney","Hilary Clinton","Active","Democratic Party","No Record Of Party Registration","Voted","No Record Of Voting","[Democrat / Candidate 1]","Democratic","[Republican / Candidate 2]","Republican","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","Rick Bryson (D)","Deborah K. Ross (D)","Roy Cooper (D)","Mark Meadows (R)","Deborah K. Ross (D)","Roy Cooper (D)","Mark Meadows (R)",21348,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301134058,2.09493051997526,1.06367989249518,"North Carolina","NC","NC-3",3,3,114,115,28540,37133,"Took Post-Election Survey",1.67896897938152,NA,NA,"28sep2016 18:41:41",42,"M","DEM","C",35000,0,0,"Democrat","Democrat (Including Leaners)","Strong Democrat","Liberal",1974,"White","No","2-Year","30k - 40k","Single / Never Married","Stayed About The Same","Most Of The Time","Approve / Somewhat Approve","Disapprove / Somewhat Disapprove","Strongly Disapprove","Strongly Disapprove","Strongly Disapprove",NA,NA,"Hillary Clinton (Democrat)",NA,"Barack Obama","Hilary Clinton","Active","Democratic Party","Democratic Party","Voted","Voted","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","Walter B. Jones (R)","Deborah K. Ross (D)","Roy Cooper (D)","Walter B. Jones (R)","Deborah K. Ross (D)","Roy Cooper (D)","Walter Jones (R)",29546,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301328578,0.448699604903307,0.227822709610348,"North Carolina","NC","NC-13",13,4,114,115,27609,37183,"Took Post-Election Survey",0.451028515700952,NA,NA,"28sep2016 18:29:17",58,"M","NPA","C",NA,1,0,"Independent","Independent (Excluding Leaners)","Independent","Moderate",1958,"White","No","Post-Grad","Prefer not to say","Divorced","Stayed About The Same","Most Of The Time","Disapprove / Somewhat Disapprove","Never Heard / Not Sure","Never Heard / Not Sure","Never Heard / Not Sure","Strongly Disapprove",NA,NA,"Hillary Clinton (Democrat)",NA,"Barack Obama","Hilary Clinton","Active","No Party Affiliation","No Record Of Party Registration","No Record Of Voting","No Record Of Voting","I'm Not Sure","","[Democrat / Candidate 1]","Democratic","No One","","I Did Not Vote In This Race","","I'm Not Sure","","[Democrat / Candidate 1]","Democratic","","","","David Price (D)","Deborah K. Ross (D)","","George Holding (R)",21349,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301334947,1.04175783210085,0.528942057165757,"North Carolina","NC","NC-9",9,13,114,115,28117,37097,"Took Post-Election Survey",0.767327848287412,NA,NA,"28sep2016 18:11:30",55,"F","NPA","C",25000,1,1,"Independent","Democrat (Including Leaners)","Lean Democrat","Moderate",1961,"White","No","4-Year","20k - 30k","Married","Gotten Better / Somewhat Better","Most Of The Time","Approve / Somewhat Approve","Never Heard / Not Sure","Disapprove / Somewhat Disapprove","Never Heard / Not Sure","Strongly Disapprove",NA,NA,"Hillary Clinton (Democrat)",NA,"","Hilary Clinton","Active","No Party Affiliation","No Record Of Party Registration","Voted","No Record Of Voting","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","Bruce Davis (D)","Deborah K. Ross (D)","Roy Cooper (D)","Bruce Davis (D)","Deborah K. Ross (D)","Roy Cooper (D)","Robert Pittenger (R)",21347,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301335010,0.571925885442232,0.290389613661071,"North Carolina","NC","NC-8",8,9,114,115,28112,37179,"Took Post-Election Survey",0.439251126981211,NA,NA,"28sep2016 16:47:28",52,"F","DEM","C",90000,1,0,"Democrat","Democrat (Including Leaners)","Not Very Strong Democrat","Liberal",1964,"White","No","Post-Grad","80k - 100k","Single / Never Married","Gotten Better / Somewhat Better","Only Now And Then","Strongly Approve","Never Heard / Not Sure","Disapprove / Somewhat Disapprove","Never Heard / Not Sure","Strongly Disapprove",NA,NA,"Hillary Clinton (Democrat)",NA,"Barack Obama","Hilary Clinton","Active","Democratic Party","No Record Of Party Registration","Voted","No Record Of Voting","I'm Not Sure","","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","I'm Not Sure","","[Democrat / Candidate 1]","Democratic","","","Roy Cooper (D)","Christian Cano (D)","Deborah K. Ross (D)","Roy Cooper (D)","Richard Hudson (R)",21346,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301335030,2.14985635093791,1.09156793050717,"North Carolina","NC","NC-8",8,9,114,115,28170,37007,"Took Post-Election Survey",1.79868675540484,NA,NA,"28sep2016 18:14:05",77,"M","REP","C",35000,0,1,"Republican","Republican (Including Leaners)","Strong Republican","Conservative",1939,"White","No","High School Graduate","30k - 40k","Married","Gotten Worse / Somewhat Worse","Most Of The Time","Strongly Disapprove","Strongly Approve","Strongly Approve","Strongly Approve","Strongly Approve",NA,NA,"Donald Trump (Republican)",NA,"Mitt Romney","Donald Trump","Active","Republican Party","Republican Party","Voted","Voted","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","Robert Pittenger (R)","Richard Burr (R)","Pat McCrory (R)","Robert Pittenger (R)","Richard Burr (R)","Pat McCrory (R)","Richard Hudson (R)",21346,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301363521,0.994691342880461,0.50504452084333,"North Carolina","NC","NC-11",11,11,114,115,28704,37021,"Took Post-Election Survey",0.829680437685595,NA,NA,"28sep2016 09:11:37",40,"M","DEM","C",90000,1,0,"Democrat","Democrat (Including Leaners)","Not Very Strong Democrat","Moderate",1976,"White","No","4-Year","80k - 100k","Single / Never Married","Gotten Better / Somewhat Better","Some Of The Time","Strongly Approve","Strongly Disapprove","Strongly Disapprove","Strongly Disapprove","Strongly Disapprove",NA,NA,"Hillary Clinton (Democrat)",NA,"Barack Obama","Hilary Clinton","Active","Democratic Party","No Record Of Party Registration","Voted","No Record Of Voting","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","Rick Bryson (D)","Deborah K. Ross (D)","Roy Cooper (D)","Rick Bryson (D)","Deborah K. Ross (D)","Roy Cooper (D)","Mark Meadows (R)",21348,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301365306,0.875541777654242,0.444547527973052,"North Carolina","NC","NC-6",6,6,114,115,27311,37033,"Took Post-Election Survey",0.610827851912354,NA,NA,"28sep2016 17:53:45",31,"F","DEM","C",15000,0,1,"Democrat","Democrat (Including Leaners)","Strong Democrat","Very Liberal",1985,"White","No","Some College","10k - 20k","Married","Stayed About The Same","Most Of The Time","Strongly Approve","Never Heard / Not Sure","Never Heard / Not Sure","Never Heard / Not Sure","Strongly Disapprove",NA,NA,"Hillary Clinton (Democrat)",NA,"Barack Obama","Hilary Clinton","Active","Democratic Party","No Record Of Party Registration","Voted","No Record Of Voting","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","[Democrat / Candidate 1]","Democratic","Pete Glidewell (D)","Deborah K. Ross (D)","Roy Cooper (D)","Pete Glidewell (D)","Deborah K. Ross (D)","Roy Cooper (D)","Mark Walker (R)",21543,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
2016,301365635,0.170724431532123,0.0866836122949479,"North Carolina","NC","NC-6",6,6,114,115,27253,37001,"Took Post-Election Survey",0.147279615163002,NA,NA,"28sep2016 17:55:27",47,"F","REP","H",45000,1,0,"Republican","Republican (Including Leaners)","Not Very Strong Republican","Moderate",1969,"Hispanic","","4-Year","40k - 50k","Divorced","Stayed About The Same","Most Of The Time","Disapprove / Somewhat Disapprove","Never Heard / Not Sure","Never Heard / Not Sure","Never Heard / Not Sure","Approve / Somewhat Approve",NA,NA,"Hillary Clinton (Democrat)",NA,"Mitt Romney","Hilary Clinton","Active","Republican Party","No Record Of Party Registration","Voted","No Record Of Voting","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","[Republican / Candidate 2]","Republican","Mark Walker (R)","Richard Burr (R)","Pat McCrory (R)","Mark Walker (R)","Richard Burr (R)","Pat McCrory (R)","Mark Walker (R)",21543,"Richard Burr (R)",29548,"Thom Tillis (R)",41504,"Pat McCrory (R)"
